Date,Entry Point,Adj Close,PNL,End date,Position,Start Price,Stop Loss
2022-12-16,1,45.810001373291016,-0.00821833957499727,2022-12-19,0,,
2022-12-19,1,45.79999923706055,-0.007126617550356295,2022-12-20,0,,
2023-01-18,1,45.09000015258789,0.00020578688473412918,2023-01-19,1,45.09000015258789,45.459999084472656
2023-02-16,1,46.47999954223633,-0.006709092644536443,2023-02-17,0,,
2023-02-21,1,46.22999954223633,0.00021979389742499307,2023-02-22,1,46.22999954223633,46.61000061035156
2023-05-05,1,51.540000915527344,0.02265576228737356,2023-05-08,1,51.540000915527344,53.119998931884766
2023-05-23,1,51.5,0.00034952048885012084,2023-05-24,1,51.5,51.93000030517578
2023-06-29,1,53.290000915527344,0.007012182835738094,2023-06-30,1,53.290000915527344,54.09000015258789
2023-07-07,1,52.290000915527344,-0.00015911569643210256,2023-07-10,0,,
2024-01-24,1,59.91999816894531,0.007186977468584134,2024-01-25,1,59.91999816894531,60.83000183105469
2024-03-11,1,66.12000274658203,0.012719828497864356,2024-03-12,1,66.12000274658203,67.48999786376953
2024-04-15,1,67.44000244140625,0.0020830409335554877,2024-04-16,1,67.44000244140625,68.12000274658203
2024-06-17,1,76.19000244140625,-0.006425054293970105,2024-06-18,0,,
2024-07-01,1,76.41000366210938,-0.006167787162168909,2024-07-02,0,,
2024-07-18,1,75.55000305175781,0.018604823635267494,2024-07-19,1,75.55000305175781,77.55999755859375
2024-09-26,1,83.08000183105469,-0.004750160843575192,2024-09-27,0,,
2024-10-24,1,85.0999984741211,-0.012347768787563674,2024-10-25,0,,
2024-10-25,1,84.7300033569336,-0.00764594856475454,2024-10-28,0,,
2024-10-28,1,84.76000213623047,-0.010359657534166428,2024-10-29,0,,
2024-10-29,1,84.55999755859375,-0.014740772366144543,2024-10-30,0,,
2024-11-15,1,86.98999786376953,0.03177467719784513,2024-11-18,1,86.98999786376953,90.4499969482422
