Date,Entry Point,Adj Close,PNL,End date,Position,Start Price,Stop Loss
2023-09-18,1,566.52880859375,-0.0015582904044038745,2023-09-19,0,,
2023-09-21,1,545.5548095703125,-0.007254897705062557,2023-09-22,0,,
2023-10-19,1,585.886474609375,-0.018426428801508132,2023-10-20,0,,
2024-03-11,1,730.8870239257812,0.020023976578251106,2024-03-12,1,730.8870239257812,751.369384765625
2024-04-01,1,756.9428100585938,-0.0035163589399593654,2024-04-02,0,,
2024-07-17,1,902.8311767578124,-0.0706000457274634,2024-07-18,0,,
2024-07-18,1,846.3139038085938,0.002095336025721031,2024-07-19,1,846.3139038085938,854.8577270507812
2024-09-05,1,911.2408447265624,-0.018999700598200654,2024-09-06,0,,
2024-09-06,1,901.2174682617188,-0.001840797093395863,2024-09-09,0,,
2024-10-21,1,904.6317749023438,-0.004667136030278204,2024-10-22,0,,
