Date,Entry Point,Adj Close,PNL,End date,Position,Start Price,Stop Loss
2023-05-23,1,301.44000244140625,-0.004549865523823331,2023-05-24,0,,
2023-07-21,1,336.6600036621094,-0.046911679323403004,2023-07-24,0,,
2023-07-24,1,323.5599975585937,0.014685116804531675,2023-07-25,1,323.5599975585937,330.8999938964844
2024-02-13,1,378.8900146484375,-0.0004252553347163391,2024-02-14,0,,
2024-03-11,1,378.8999938964844,0.01971179775439269,2024-03-12,1,378.8999938964844,389.3999938964844
2024-04-02,1,382.3599853515625,-0.005227669952970556,2024-04-03,0,,
2024-07-15,1,437.25,-0.006261841588050315,2024-07-16,0,,
2024-07-17,1,426.2300109863281,-0.03167265579104019,2024-07-18,0,,
2024-09-06,1,471.8200073242188,0.008044269438995704,2024-09-09,1,471.8200073242188,479.3900146484375
