Date,Entry Point,Adj Close,PNL,End date,Position,Start Price,Stop Loss
2024-03-15,1,113.7773666381836,-0.03440912539084118,2024-03-18,0,,
2024-11-14,1,115.02999877929688,-0.00043673167161143583,2024-11-15,0,,
