Date,Entry Point,Adj Close,PNL,End date,Position,Start Price,Stop Loss
2023-05-02,1,289.5555419921875,-0.030967792688062885,2023-05-03,0,,
2024-10-02,1,355.1099853515625,-0.01785610133304183,2024-10-03,0,,
2024-10-25,1,352.82000732421875,0.0010414442922304125,2024-10-28,1,352.82000732421875,356.010009765625
