Date,Entry Point,Adj Close,PNL,End date,Position,Start Price,Stop Loss
2024-03-18,1,579.286865234375,-0.003397025150889745,2024-03-19,0,,
2024-03-26,1,568.0716552734375,0.010547082361066374,2024-03-27,1,568.0716552734375,578.6077270507812
2024-05-21,1,589.3435668945312,-0.006847636214691577,2024-05-22,0,,
2024-05-23,1,584.2603149414062,-0.009675107320213766,2024-05-24,0,,
2024-05-24,1,583.2816162109375,-0.027655865137038865,2024-05-28,0,,
2024-05-28,1,571.8167114257812,-0.017204105823200685,2024-05-29,0,,
