Date,Open,High,Low,Close,Volume,Adj Close
2022-01-03,129.15750122070312,129.7624969482422,121.33000183105469,121.94750213623047,1001200,120.46573638916016
2022-01-04,121.30000305175781,121.30000305175781,115.97250366210938,117.00499725341797,1361200,115.58329010009766
2022-01-05,116.62750244140625,117.47000122070312,108.33000183105469,108.68250274658203,1824400,107.36193084716797
2022-01-06,107.29000091552734,108.73999786376953,104.8324966430664,106.63500213623047,1223200,105.33930969238281
2022-01-07,106.22000122070312,106.59249877929688,102.93499755859375,103.81999969482422,1000400,102.55850982666016
2022-01-10,101.76000213623047,107.48750305175781,100.26499938964844,106.94249725341797,1323200,105.64305877685547
2022-01-11,106.88999938964844,108.46749877929688,104.80249786376953,108.07749938964844,868400,106.76425170898438
2022-01-12,108.09750366210938,109.48999786376953,105.2750015258789,107.09249877929688,790800,105.7912368774414
2022-01-13,106.88749694824219,106.97250366210938,99.13749694824219,99.41999816894531,1217600,98.21196746826172
2022-01-14,99.0,100.49749755859375,95.7750015258789,97.52749633789062,1500000,96.34246063232422
2022-01-18,95.7125015258789,96.08999633789062,93.88749694824219,94.75,1019600,93.59870910644531
2022-01-19,95.12750244140625,97.73999786376953,94.50749969482422,94.9574966430664,755200,93.8036880493164
2022-01-20,95.78250122070312,97.44499969482422,94.27749633789062,94.30500030517578,976000,93.15911865234375
2022-01-21,94.3324966430664,94.91999816894531,91.63999938964844,91.7750015258789,1598000,90.65986633300781
2022-01-24,91.22000122070312,95.63999938964844,86.97000122070312,95.47250366210938,1820800,94.31243896484375
2022-01-25,93.32499694824219,94.19249725341797,89.77749633789062,92.0,1009200,90.88213348388672
2022-01-26,93.17500305175781,94.2925033569336,90.0824966430664,90.95249938964844,1045200,89.84735870361328
2022-01-27,92.33000183105469,93.73999786376953,88.32250213623047,88.4625015258789,1625600,87.38761901855469
2022-01-28,88.80000305175781,91.77249908447266,87.27999877929688,91.77249908447266,1846800,90.65738677978516
2022-01-31,92.13999938964844,94.12750244140625,91.8324966430664,94.10250091552734,1581600,92.9590835571289
2022-02-01,101.90249633789062,105.62249755859375,98.57250213623047,100.39250183105469,2256800,99.17264556884766
2022-02-02,101.14749908447266,105.40249633789062,101.14749908447266,104.46499633789062,1898400,103.19566345214844
2022-02-03,99.92500305175781,103.75,99.13749694824219,102.4000015258789,1084400,101.15576171875
2022-02-04,100.25,103.23750305175781,99.26000213623047,102.51750183105469,1306000,101.2718276977539
2022-02-07,102.58999633789062,105.37999725341797,102.49749755859375,103.16999816894531,1064400,101.91639709472656
2022-02-08,102.9000015258789,104.3324966430664,101.37000274658203,103.3375015258789,1220400,102.08187866210938
2022-02-09,104.94750213623047,107.26750183105469,103.20500183105469,106.02249908447266,1214800,104.7342300415039
2022-02-10,103.28250122070312,107.94750213623047,103.28250122070312,105.71749877929688,1172400,104.51180267333984
2022-02-11,106.12000274658203,108.73750305175781,103.72000122070312,104.6449966430664,1454800,103.45153045654297
2022-02-14,104.73249816894531,106.7125015258789,103.27749633789062,103.41000366210938,1123600,102.23063659667969
2022-02-15,104.90249633789062,106.4375,102.33499908447266,103.1875,1408000,102.01065826416016
2022-02-16,102.43499755859375,103.70249938964844,100.76499938964844,103.00749969482422,1428400,101.83271789550781
2022-02-17,102.5,103.90499877929688,98.95999908447266,99.54750061035156,1174000,98.41218566894531
2022-02-18,99.44750213623047,101.0425033569336,97.5,100.25250244140625,1004800,99.10913848876953
2022-02-22,100.32250213623047,101.44999694824219,98.39749908447266,100.02749633789062,789600,98.8866958618164
2022-02-23,100.65499877929688,101.37000274658203,97.88749694824219,98.08999633789062,827600,96.97130584716797
2022-02-24,96.88749694824219,103.7074966430664,96.5250015258789,103.2249984741211,1408400,102.04772186279297
2022-02-25,103.27999877929688,106.09500122070312,103.09500122070312,105.67250061035156,1049200,104.4673080444336
2022-02-28,104.48500061035156,105.44750213623047,103.0250015258789,104.85250091552734,1541200,103.65668487548828
2022-03-01,104.89749908447266,106.7300033569336,104.05249786376953,105.04499816894531,920800,103.84696960449219
2022-03-02,105.6050033569336,106.79499816894531,104.48999786376953,105.91999816894531,755600,104.71199035644531
2022-03-03,106.56500244140625,106.72000122070312,103.81500244140625,104.95500183105469,567200,103.75801086425781
2022-03-04,104.44499969482422,105.65499877929688,102.2699966430664,104.39749908447266,1225200,103.20685577392578
2022-03-07,104.07749938964844,104.25250244140625,100.01000213623047,100.33000183105469,913600,99.18574523925781
2022-03-08,99.20249938964844,101.00499725341797,96.7750015258789,98.43000030517578,820400,97.30741119384766
2022-03-09,101.39250183105469,105.13249969482422,99.76499938964844,104.57499694824219,846800,103.38233184814453
2022-03-10,102.48249816894531,103.9375,101.38999938964844,103.77249908447266,600400,102.5889892578125
2022-03-11,105.0250015258789,105.0250015258789,100.08999633789062,100.20999908447266,584800,99.0671157836914
2022-03-14,100.93499755859375,103.12999725341797,97.625,98.05249786376953,591600,96.93421173095703
2022-03-15,99.36000061035156,101.50749969482422,98.4175033569336,101.4000015258789,899200,100.24354553222656
2022-03-16,102.82499694824219,106.7300033569336,102.82499694824219,105.8550033569336,585600,104.64774322509766
2022-03-17,105.11250305175781,108.05500030517578,104.47000122070312,107.93250274658203,698400,106.70154571533203
2022-03-18,107.74500274658203,111.75250244140625,107.74500274658203,111.4000015258789,1332400,110.12950134277344
2022-03-21,109.83499908447266,111.6875,107.47000122070312,109.55999755859375,824800,108.31047058105469
2022-03-22,109.36250305175781,111.70500183105469,108.5625,110.53500366210938,782400,109.27436065673828
2022-03-23,110.00749969482422,110.00749969482422,106.78500366210938,107.25499725341797,469200,106.03177642822266
2022-03-24,107.41999816894531,108.90499877929688,106.13500213623047,108.76499938964844,436000,107.52454376220703
2022-03-25,109.7074966430664,109.7074966430664,106.56500244140625,108.86250305175781,425200,107.62094116210938
2022-03-28,109.19499969482422,110.53250122070312,107.39250183105469,109.33000183105469,453200,108.08309936523438
2022-03-29,111.0999984741211,112.33999633789062,110.74500274658203,111.50499725341797,652400,110.23328399658203
2022-03-30,111.10250091552734,111.17250061035156,109.1500015258789,110.59500122070312,574000,109.33367919921875
2022-03-31,110.7925033569336,111.68250274658203,107.74500274658203,108.26000213623047,1182400,107.02532196044922
2022-04-01,109.3375015258789,109.3375015258789,106.90249633789062,108.31749725341797,1158400,107.08214569091797
2022-04-04,108.83000183105469,108.83000183105469,107.44000244140625,108.01000213623047,1559600,106.77816009521484
2022-04-05,108.32250213623047,108.7925033569336,106.94249725341797,108.26249694824219,1040800,107.02777099609375
